"","ballot_ID","state","county","voted_2016","student_loan","faminc","child_u18","followed_event_fb","education","employment","social_media","marital_status","home_owner_status","voted_2012","birth_year","vote_method","health_insurance"
"1292","98161","Colorado","Pueblo CO","republican","no",4,"no","Yes","highschool","employed","Yes","Divorced","own","republican",NA,"by mail","no"
"1293","67760","Arizona","Maricopa AZ","democrat","no",8,"no",NA,"highschool","employed","No","Single","own","democrat",NA,"by mail","no"
"1294","72956","Michigan","Oakland MI","republican","no",4,"no","No","highschool","employed","Yes","Married","own","republican",NA,"in person ","no"
"1295","97817","Pennsylvania","Philadelphia PA","republican","no",3,"yes","No","highschool","other","Yes","Separated","rent",NA,NA,"in person ","yes"
"1296","00748","Pennsylvania","Bucks PA","republican","no",11,"yes","No","highschool","employed","Yes","Married","own","republican",NA,"in person ","no"
"1297","17629","Nevada","Carson City NV","republican","yes",10,"no","Yes","highschool","employed","Yes","Married","own","republican",NA,"in person ","no"
"1298","57376","Colorado","Saguache CO","democrat","no",4,"no","Yes","highschool","employed","Yes","Divorced","rent","democrat",NA,"by mail","no"
"1299","63889","Nevada","Clark NV",NA,"no",5,"no",NA,"highschool","retired","No","Married","own",NA,NA,NA,"no"
"1300","93823","Minnesota","Sherburne MN","republican","no",12,"no",NA,"highschool","retired","No","Married","own","republican",NA,"in person ","no"
"1301","53166","Colorado","Denver CO","democrat","no",6,"no",NA,"highschool","employed","No","Single","own","democrat",NA,"by mail","no"
"1302","18459","Georgia","Franklin GA","republican","no",4,"no","No","postgraduate","retired","Yes","Widowed","own","republican",NA,"in person ","no"
"1303","38831","Florida","Duval FL","democrat","no",10,"no","No","postgraduate","employed","Yes","Married","own","democrat",NA,"by mail","no"
"1304","20012","Florida","Pasco FL","democrat","no",3,"no","Yes","postgraduate","employed","Yes","Single","own","democrat",NA,"by mail","no"
"1305","18438","Virginia","Henrico VA","democrat","no",11,"no","No","postgraduate","retired","Yes","Married","own","democrat",NA,"in person ","yes"
"1306","36674","Nevada","Washoe NV","republican","no",10,"no","No","postgraduate","retired","Yes","Married","own",NA,NA,"by mail","no"
"1307","79068","Wisconsin","Dane WI","democrat","no",8,"no","Yes","postgraduate","employed","Yes","Married","own","democrat",NA,"in person","no"
"1308","11948","Virginia","Portsmouth city VA","republican","no",3,"no","Yes","no_highschool","retired","Yes","Single","rent","republican",NA,"in person ","no"
"1309","70039","Wisconsin","Oneida WI",NA,"no",6,"yes","No","highschool","employed","Yes","Married","rent","did not vote",NA,"in person ","yes"
"1310","25707","Georgia","Muscogee GA",NA,"no",6,"no",NA,"highschool","retired","No","Married","own",NA,NA,NA,"no"
"1311","53954","Colorado","El Paso CO","democrat","no",7,"no",NA,"highschool","retired","No","Married","own","democrat",NA,"by mail","yes"
"1312","40011","Nevada","Washoe NV","democrat","no",5,"no",NA,"highschool","retired","No","Separated","rent","democrat",NA,"in person","yes"
"1313","96128","Michigan","Mason MI","republican","no",3,"no","Yes","highschool","retired","Yes","Married","own","republican",NA,"in person ","yes"
"1314","94446","Florida","Broward FL","democrat","no",2,"no",NA,"highschool","retired","No","Widowed","own","democrat",NA,"in person","yes"
"1315","42210","Nevada","Clark NV","democrat","no",32,"no",NA,"highschool","retired","No","Divorced","rent","democrat",NA,"in person ","yes"
"1316","39395","Virginia","Hampton city VA","democrat","no",2,"no",NA,"highschool","other","No","Divorced","rent","democrat",NA,"in person ","yes"
"1317","35721","Florida","Pasco FL",NA,"no",4,"no",NA,"highschool","retired","No","Divorced","own","democrat",NA,"in person ","yes"
"1318","45996","Florida","Lee FL","republican","no",32,"no","No","highschool","other","Yes","Married","own","republican",NA,"by mail","yes"
"1319","20445","Pennsylvania","Tioga PA","republican","no",32,"no","No","postgraduate","retired","Yes","Married","own","republican",NA,"in person ","yes"
"1320","08920","Florida","Sumter FL","republican","no",11,"no","No","postgraduate","retired","Yes","Married","own","republican",NA,"in person","yes"
"1321","01107","Wisconsin","Dunn WI","democrat","no",10,"no","Yes","postgraduate","retired","Yes","Married","own","democrat",NA,"in person","yes"
"1322","13791","North Carolina","Chatham NC","democrat","no",32,"no",NA,"undergraduate","retired","No","Married","own","democrat",NA,"in person","yes"
"1323","41739","Pennsylvania","Bucks PA","republican","no",11,"no",NA,"undergraduate","employed","No","Married","own","republican",NA,"by mail","yes"
"1324","97239","Florida","Broward FL","democrat","no",7,"no",NA,"undergraduate","employed","No","Widowed","rent","democrat",NA,"in person","yes"
"1325","09375","Nevada","Clark NV","democrat","no",9,"no","No","undergraduate","retired","Yes","Divorced","rent","democrat",NA,"by mail","yes"
"1326","45503","Virginia","Amherst VA","republican","no",8,"no","Yes","undergraduate","other","Yes","Married","own","republican",NA,"in person ","yes"
"1327","60071","Pennsylvania","Butler PA","republican","no",8,"no","No","undergraduate","other","Yes","Married","own","republican",NA,"in person ","no"
"1328","46716","North Carolina","New Hanover NC","republican","yes",5,"yes","Yes","undergraduate","employed","Yes","Married","own",NA,NA,"in person ","yes"
"1329","10799","Virginia","Virginia Beach city VA",NA,NA,32,"no","Yes","undergraduate","employed","Yes","Married","own","republican",NA,NA,"no"
"1330","70897","North Carolina","Cumberland NC","republican","no",32,"no","No","undergraduate","employed","Yes","Single","own","republican",NA,"in person","no"
"1331","97130","Arizona","Pima AZ","democrat","no",5,"yes",NA,"postgraduate","employed","No","Divorced","own","democrat",NA,"by mail","no"
"1332","15678","Virginia","Montgomery VA","republican","yes",7,"yes","Yes","postgraduate","employed","Yes","Married","rent","republican",NA,"in person ","no"
"1333","79896","Pennsylvania","Philadelphia PA",NA,"no",8,"no","No","postgraduate","student","Yes","Single","rent",NA,NA,NA,"no"
"1334","49240","Florida","Hillsborough FL","democrat","no",32,"no","No","highschool","employed","Yes","Single","other","democrat",NA,"in person ","no"
"1335","56377","Virginia","Virginia Beach city VA","republican","no",6,"no",NA,"highschool","retired","No","Married","own","republican",NA,"in person ","yes"
"1336","25899","Florida","Lee FL","republican","yes",7,"no","No","highschool","employed","Yes","Single","rent","republican",NA,"in person ","no"
"1337","46990","Pennsylvania","Montgomery PA","democrat","no",11,"yes",NA,"undergraduate","employed","No","Married","own","democrat",NA,"in person ","no"
"1338","99673","New Hampshire","Merrimack NH","democrat","no",3,"no","Yes","highschool","retired","Yes","Widowed","rent","democrat",NA,"in person ","yes"
"1339","86068","North Carolina","Rowan NC","republican","no",2,"no","Yes","highschool","retired","Yes","Divorced","own","republican",NA,"in person","no"
"1340","78755","Georgia","Carroll GA","republican","no",32,"no","Yes","highschool","retired","Yes","Married","own","republican",NA,"in person ","yes"
"1341","71640","Nevada","Lyon NV",NA,"no",2,"no",NA,"highschool","retired","No","Divorced","own",NA,NA,NA,"yes"
"1342","90892","Pennsylvania","Monroe PA","democrat","no",3,"no","Yes","highschool","retired","Yes","Widowed","own","democrat",NA,"in person ","yes"
"1343","44486","Virginia","Henrico VA","republican","no",9,"no",NA,"highschool","employed","No","Married","own","republican",NA,"in person ","no"
"1344","62672","Florida","Martin FL","republican","no",3,"no","Yes","highschool","retired","Yes","Divorced","own","republican",NA,"by mail","no"
"1345","73345","Georgia","Douglas GA","republican","no",4,"no",NA,"highschool","retired","No","Widowed","own",NA,NA,"in person ","yes"
"1346","91345","North Carolina","Catawba NC","republican","no",4,"no","No","highschool","retired","Yes","Married","own","republican",NA,"in person ","yes"
